Year,Era,Problem_Count,Topic_1,Approach_1,Topic_2,Approach_2,Topic_3,Approach_3,Topic_4,Approach_4,Notes
2024,最新期,1,複素ポテンシャル流れ,理論解析,,,,,複素関数を用いた高度な解析
2023,最新期,2,ベルヌーイ定理,理論応用,境界層流れ,運動量積分法,,,境界層理論の応用
2022,最新期,2,管路流れ,ベルヌーイ定理,物体まわりの流れ,循環理論,,,循環と揚力の関係
2021,最新期,2,ベルヌーイ定理,理論応用,粘性流れ,ナビエ・ストークス方程式,,,粘性流体の厳密解
2020,後期,2,ベルヌーイ定理,理論応用,噴流,運動量保存,,,基本的な衝突流解析
2019,後期,3,管路流れ,連続の式・ベルヌーイ,渦流れ,循環理論,境界層,運動量積分法,渦度と循環の基礎
2018,後期,5,ポテンシャル流れ,複素解析,管路流れ,ベルヌーイ定理,粘性流れ,層流解析,多様な流れ問題
2017,後期,3,ポテンシャル流れ,複素解析,管路流れ,ベルヌーイ定理,粘性流れ,層流理論,理論的解析が中心
2016,後期,3,マノメータ,流体静力学,管路流れ,ベルヌーイ定理,平板境界層,運動量積分法,古典的な流体力学問題
2015,後期,3,ランキン渦,渦度理論,管路流れ,ベルヌーイ定理,境界層,運動量理論,渦流れの基礎理論
2014,中期,3,ベルヌーイ定理,理論応用,粘性流れ,層流解析,境界層,運動量積分法,基本的な層流問題
2013,中期,1,管路流れ,ベルヌーイ定理,,,,,境界層の基礎解析
2012,中期,2,ポテンシャル流れ,理論解析,粘性流れ,ナビエ・ストークス,,,理論解析重視
2011,中期,3,管路流れ,ベルヌーイ定理,渦流れ,循環理論,境界層,運動量積分法,基本的な流れ解析
2010,中期,3,タンクからの流出,ベルヌーイ定理,境界層,オーダー評価,球の落下,ストークス,基礎的な応用問題
2009,中期,3,管路流れ,ベルヌーイ定理,物体まわりの流れ,運動量理論,粘性流れ,層流解析,古典流体力学
2008,初期,3,粘性流れ,層流解析,ポテンシャル流れ,複素関数,境界層,運動量積分法,理論と応用の組み合わせ
2007,初期,5,ベルヌーイ定理,理論応用,境界層,運動量積分法,粘性流れ,厳密解,多様な流れ問題
2006,初期,4,連続の式,質量保存,円柱流れ,循環,強制渦,渦度理論,基本的な流れ現象
2005,初期,4,傾斜面薄層流,粘性流解析,ポンプ性能,エネルギー,渦まわりの流れ,運動量保存,点湧き出し,ポテンシャル理論,粘性流の基礎解析
2004,初期,2,管路流れ,ベルヌーイ定理,物体まわりの流れ,理論解析,,,基礎的な理論問題
2003,初期,2,ベルヌーイ定理,理論応用,粘性流れ,層流解析,,,基本的な流体現象