2003,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2003_H15_april/info1.txt
2003,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2003,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2004,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2004_H16_april/info1.txt
2004,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2004,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2005,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2005_H17_april/info1.txt
2005,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2005,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2006,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2006_H18_april/info1.txt
2006,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2006,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2007,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2007_H19_april/info1.txt
2007,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2007,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2008,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2008_H20_april/info1.txt
2008,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2008,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2009,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2009_H21_april/info1.txt
2009,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2009,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2010,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2010_H22_april/info1.txt
2010,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2010,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2011,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2011_H23_april/info1.txt
2011,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2011,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2012,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2012_H24_april/info1.txt
2012,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2012,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2013,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2013_H25_april/info1.txt
2013,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2013,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2014,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2014_H26_april/info1.txt
2014,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2014,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2015,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2015_H27_april/info1.txt
2015,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2015,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2016,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2016_H28_april/info1.txt
2016,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2016,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2017,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2017_H29_april/info1.txt
2017,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2017,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2018,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2018_H30_april/info1.txt
2018,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2018,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2019,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2019_R1_april/info1.txt
2019,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2019,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2020,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2020_R2_april/info1.txt
2020,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2020,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2021,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2021_R3_april/info1.txt
2021,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2021,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2022,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2022_R4_april/info1.txt
2022,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2022,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2023,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2023_R5_april/info1.txt
2023,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2023,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2024,Fluid,info1,1,Problem_1,,Check original_text/original_fluid/2024_R6_april/info1.txt
2024,Fluid,info1,2,Problem_2,,Check if Problem 2 exists in same file
2024,Fluid,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2003,Materials,info1,1,Problem_1,,Check original_text/original_material/2003_H15_april/info1.txt
2003,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2003,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2004,Materials,info1,1,Problem_1,,Check original_text/original_material/2004_H16_april/info1.txt
2004,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2004,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2005,Materials,info1,1,Problem_1,,Check original_text/original_material/2005_H17_april/info1.txt
2005,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2005,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2006,Materials,info1,1,Problem_1,,Check original_text/original_material/2006_H18_april/info1.txt
2006,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2006,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2007,Materials,info1,1,Problem_1,,Check original_text/original_material/2007_H19_april/info1.txt
2007,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2007,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2008,Materials,info1,1,Problem_1,,Check original_text/original_material/2008_H20_april/info1.txt
2008,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2008,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2009,Materials,info1,1,Problem_1,,Check original_text/original_material/2009_H21_april/info1.txt
2009,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2009,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2010,Materials,info1,1,Problem_1,,Check original_text/original_material/2010_H22_april/info1.txt
2010,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2010,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2011,Materials,info1,1,Problem_1,,Check original_text/original_material/2011_H23_april/info1.txt
2011,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2011,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2012,Materials,info1,1,Problem_1,,Check original_text/original_material/2012_H24_april/info1.txt
2012,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2012,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2013,Materials,info1,1,Problem_1,,Check original_text/original_material/2013_H25_april/info1.txt
2013,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2013,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2014,Materials,info1,1,Problem_1,,Check original_text/original_material/2014_H26_april/info1.txt
2014,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2014,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2015,Materials,info1,1,Problem_1,,Check original_text/original_material/2015_H27_april/info1.txt
2015,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2015,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2016,Materials,info1,1,Problem_1,,Check original_text/original_material/2016_H28_april/info1.txt
2016,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2016,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2017,Materials,info1,1,Problem_1,,Check original_text/original_material/2017_H29_april/info1.txt
2017,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2017,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2018,Materials,info1,1,Problem_1,,Check original_text/original_material/2018_H30_april/info1.txt
2018,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2018,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2019,Materials,info1,1,Problem_1,,Check original_text/original_material/2019_R1_april/info1.txt
2019,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2019,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2020,Materials,info1,1,Problem_1,,Check original_text/original_material/2020_R2_april/info1.txt
2020,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2020,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2021,Materials,info1,1,Problem_1,,Check original_text/original_material/2021_R3_april/info1.txt
2021,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2021,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2022,Materials,info1,1,Problem_1,,Check original_text/original_material/2022_R4_april/info1.txt
2022,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2022,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2023,Materials,info1,1,Problem_1,,Check original_text/original_material/2023_R5_april/info1.txt
2023,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2023,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
,,,,,,
,,,,,,
,,,,,,
2024,Materials,info1,1,Problem_1,,Check original_text/original_material/2024_R6_april/info1.txt
2024,Materials,info1,2,Problem_2,,Check if Problem 2 exists in same file
2024,Materials,info1,3,Problem_3,,Check if Problem 3 exists in same file
